"Product Type","Products"
"Panties","223"
"Bra","49"
"Sleepwear","230"
"Kit","39"
"Gift Card","2"
"kit","1"
"GWP","3"
"","1"
"Lounge","3"
"Gifting","4"
"Configuration","6"
