"Product Type","Products"
"Leggings","115"
"Cincher","11"
"Bodysuits","59"
"Panties","100"
"Pants","3"
"Hosiery","34"
"Shorts","92"
"Accessory","31"
"Camis & Tanks","74"
"Bra","121"
"Nulls Gift Product","40"
"Underwear","22"
"Swimwear","35"
"Slips","8"
"Clothing Accessories","1"
"Apparel","2"
"Shapermint Club Membership","5"
