"Product Type","Products"
"Bra","127"
"Underwear","487"
"swim-bottom","7"
"Kit","48"
"Lounge","66"
"top","29"
"Bottoms","64"
"Knixteen","21"
"underwear","18"
"Sock","4"
"Lounge Tops","36"
"bodysuit","17"
"Accessories","28"
"Mask","9"
"Gift Card","1"
"","6"
"Reusable Pads","2"
"swim-mini","1"
"swim-coverup","1"
"swim-bodysuit","1"
"Shapewear","14"
"Wash Bag","1"
