"Product Type","Products"
"Home Audio","23"
"Limited Edition","60"
"TWS","42"
"Mobile Accessories","73"
"Smart","16"
"Rockerz","21"
"Immortal Gaming","5"
"Bassheads","27"
"","6"
"Speakers","35"
"Box Builder","1"
"Rockerz In-Ear","23"
"Misfit","5"
"Gift Cards","1"
