"Product Type","Products"
"hair-care","83"
"hair-dryer","15"
"flat-iron","18"
"curling-wand","26"
"simple-bundle","53"
"upsell","48"
"accessories","57"
"Extend Service Contract","12"
"voucher","1"
"","1"
"clearance","34"
"sets","2"
"hot-brush","2"
"body-care","5"
"brush","8"
"jasmine-collection","1"
"bag","2"
"discount","5"
"configurable-bundle","1"
"Gift Cards","1"
