"Product Type","Products"
"BODYSUITS","396"
"BOTTOMS","513"
"TOPS","423"
"BRALETTES","234"
"DRESSES","62"
"PANTIES","365"
"GIFT BAG","3"
"SETS","21"
"ROBES","32"
"BRAS","66"
"ONE PIECE","9"
"ACCESSORIES","108"
"LEGGINGS","19"
"SHORTS","14"
"KIDS SETS","1"
"KIDS ONESIES","5"
"UNDERWEAR","8"
"KIDS BOTTOMS","9"
"KIDS TOPS","14"
"FOOTWEAR","5"
"TANK","10"
"SLIPS","27"
"KIDS ROBES","5"
"BUNDLE","6"
"GIFT CARD","1"
