"Product Type","Products"
"FrontalLaceWig","65"
"bobwig","53"
"Tools & Accessories","21"
"Closure Wig","29"
"Headband Wig","36"
"4x4Closure","12"
"T Part Simple Lace Wig","14"
"Bangs Wig","7"
"Ponytail","5"
"Frontlacewig","4"
"U Part Wig","7"
"ClosureFrontal","2"
"Hairbundles","9"
"Wigs","1"
"4x13Frontal","6"
"Quick Weave","1"
"613FrontalWig","2"
"","2"
"BundlesWithClosure","1"
"BundlesWithFrontal","1"
"Fulllacewig","2"
"360Frontal","1"
