"Product Type","Products"
"Jackets","18"
"Shirts","7"
"boots","336"
"Sneakers","21"
"Belts","42"
"Shoe Care","31"
"Socks","122"
"Shoes","68"
"Pants","9"
"Wallets","20"
"Hats","2"
"Laces","62"
"Bags","3"
"","1"
"Gift Cards","1"
