"Product Type","Products"
"Socks","119"
"socks","456"
"undies","57"
"","9"
"tshirts","25"
"underwear","19"
"slippers","42"
"gift boxes","3"
"tees","19"
"bag","3"
"sets","20"
"socks_undies","19"
"tees_undies","3"
"bombas","5"
