"Product Type","Products"
"Tees","436"
"Crews","411"
"Hoodies","421"
"Stickers","266"
"Dad Hat","22"
"Tanks","311"
"Crew","1"
"Phone Case","146"
"Tote","125"
"Bundle","1"
"PPE","3"
"Canvas","23"
"Face Mask","6"
"Light Stick","4"
"Phone Accessories","5"
"Pins","8"
"Snapbacks","15"
"CD","3"
"Collab","4"
"Gift Cards","1"
