"Product Type","Products"
"Towels","77"
"Pillow","5"
"Bedding","56"
"Bath and Body","24"
"Accessories","40"
"Blanket","21"
"Art","15"
"Loungewear","27"
"Gift Card","2"
"Rug","8"
"Decor","25"
"Furniture","17"
"Insurance","1"
"Dev","1"
"Loyalty Reward","21"
"Comforter","5"
"Brooklittles","22"
"Retail Towels","48"
"Utility Bedding","4"
"Retail Brooklittles Bundles","9"
"Lighting","3"
"Fabric Care","8"
"Gift Note","1"
"Candles","1"
