"Product Type","Products"
"Accessories","19"
"Fleece","6"
"Shorts","475"
"Tops","368"
"Jumpsuits & Dresses","21"
"Tanks","173"
"Jackets & Hoodies","302"
"Leggings","122"
"Graphic Tees","111"
"Headwear","113"
"Pants","212"
"Gift Cards","1"
"Boardshorts","93"
"Joggers","82"
"Bags","4"
"Bra","66"
"Gift Card","2"
"Misc Accessories","24"
"jumpsuits & dresses","2"
"Button Down","11"
"Free-Gift","2"
"Water","8"
"Skirts","3"
