"Product Type","Products"
"Mug","63"
"Blanket","4"
"Sticker","71"
"Unisex T-Shirt","153"
"Crewneck Sweatshirt","107"
"Women's T-Shirt","45"
"Tote Bag","26"
"Pin","7"
"Pillow","6"
"Baseball Tee","2"
"Tank Top","11"
"Hat","2"
"Long Sleeve Shirt","22"
"Youth T-Shirt","21"
"Apron","1"
"Pullover Hoodie","31"
"Notebook","5"
"Infant Snap","4"
"Zip Hoodie","1"
"Poster","1"
"Phone Case","14"
"Mask","6"
